claim_id,section,bounded_claim,evidence_type,source_path,source_locator,source_hash_or_version,status
C01,1,"Idle domestic robots motivate secondary monitoring uses",peer-reviewed literature,references/source_materials/Project25_brief.zip,"project brief context; external claim verified by Shiokawa et al. 2025",10.1145/3706598.3714266,verified
C02,3.3,"TaskSpec is a strict typed executable contract",implementation,raptor_lite/models.py,"TaskSpec and StrictModel",HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C03,3.4,"Capabilities are versioned and checked against a backend profile",implementation,raptor_lite/capability_registry.py,CapabilityRegistry,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C04,3.5,"The natural-language planner is deterministic and constrained",implementation,raptor_lite/planner.py,OfflineHouseSitterPlanner,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C05,3.6,"Verification checks schema capability parameters sequencing and safety",implementation,raptor_lite/verifier.py,Verifier,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C06,3.6,"Safe repair is implemented but no formal success percentage is available",implementation+result limitation,raptor_lite/verifier.py,"repair functions; Phase 7 claim audit",a2cf3e72f5472bf1666bde311efc4ea313ef31a0638f84eaa7818e9c880cd4e5,verified
C07,3.7,"Resource policy uses estimated task cost return reserve and safety margin",implementation,raptor_lite/phase57.py,resource_policy,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C08,3.8,"House-Sitter follows observe-detect-update-alert-report data flow",implementation,raptor_lite/house_sitter.py,HouseSitterApplication,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C09,3.9,"House2D v1.1 is the experimental backend",implementation+freeze,raptor_lite/house2d.py,"House2DBackend version and manifest backend identity",phase511 freeze,verified
C10,3.10,"Detector observations exclude seed event identifiers and truth labels",implementation+tests,raptor_lite/house2d.py,"ROBOT_OBSERVATION_FIELDS; tests/raptor_lite/test_house2d.py",HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C11,3.10,"Ground-truth leakage correction preceded admitted RQ3 data",provenance,results/raptor_lite/phase6_formal/provenance/rq3_implementation_correction.json,entire record,cae4f103e4777485397ec3b239d108c428fc20c2ebea994d1aa0c0afc9f550f9,verified
C12,3.11,"Detector reads only RobotObservation",implementation+guard tests,raptor_lite/house_sitter.py,"detector invocation and forbidden fields",HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C13,3.12,"Digital Twin updates retain revision and observation provenance",implementation,raptor_lite/phase57.py,TwinHistory,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C14,3.13,"Route optimisation uses legal House2D graph paths",implementation+tests,raptor_lite/planner.py,"route ordering; tests/raptor_lite",HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C15,3.15,"RobotBackend is shared by House2D and Create3ROS2",implementation,raptor_lite/backends.py,RobotBackend,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C16,3.15,"Create3 backend discovers ROS graph entities and types at runtime",implementation+tests,raptor_lite/create3_ros2.py,"ROSGraphDiscovery and Create3ROS2Backend",HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C17,3.15,"Create3 maps battery odometry IMU hazard dock and supported actions",implementation+official interface,raptor_lite/create3_ros2.py,"observation adapter and action mapping",HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C18,3.15,"Named-room navigation is unavailable without a valid provider",implementation+documentation,raptor_lite/create3_ros2.py,NavigationProvider,HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified
C19,3.15,"Create3 backend was interface/mock tested",test suite,tests/raptor_lite/test_create3_ros2_backend.py,complete test module,96-test suite,verified
C20,3.15,"No physical robot validation was performed",freeze+deployment report,docs/raptor_lite_create3_ros2_deployment.md,validation status,physical_robot_validated=false,verified
C21,4.2,"Pilot data are excluded from formal statistics",protocol+manifest,docs/raptor_lite/phase6_formal_protocol.md,"formal data boundary",protocol:25a16e15fc07c2c9d3c76e52de067ca47f09950ac532bbbf1f14e611753c2847,verified
C22,4.3,"RQ1 and RQ2 labels are independent of evaluated components",oracle+AST guards,scripts/phase6_independent_oracle.py,"independent rules and tests/raptor_lite/test_phase6_oracle_validity.py",protocol:25a16e15fc07c2c9d3c76e52de067ca47f09950ac532bbbf1f14e611753c2847,verified
C23,4.3,"RQ3 seed-to-scenario truth is deterministic and independent of detector",oracle+tests,scripts/phase6_independent_oracle.py,"RQ3 mapping and sensitivity audit",correction:cae4f103e4777485397ec3b239d108c428fc20c2ebea994d1aa0c0afc9f550f9,verified
C24,4.6,"Development and held-out RQ3 seeds are disjoint",manifest,configs/raptor_lite/phase6_rq3_corrected_seed_manifest.json,"100 development; 300 held-out",protocol:25a16e15fc07c2c9d3c76e52de067ca47f09950ac532bbbf1f14e611753c2847,verified
C25,4.10,"Scientific replay excludes volatile provenance but retains conclusion-bearing fields",addendum+tests,configs/raptor_lite/phase6_replay_addendum.yaml,"scientific_fields and volatile_fields",68dd987fe6d8a4f9fd1e06b281f119e75d2640a481bc977f06a9dcae0767d57a,verified
C26,5.6,"Non-hardware empty-graph ROS smoke failed closed without sending commands",local smoke evidence,docs/raptor_lite_create3_ros2_deployment.md,"readiness semantics; local audit command record",HEAD:85179bdbe996053ec69ef5b0aca748812fdb8019,verified

