item_id,RQ,designation,value,n,interval_or_test,effect_size,raw_source,record_filter,logical_raw_hash,status
R1-01,RQ1,primary,"240/240 decision correct (1.000)",240,"Wilson 95% 0.984246--1.000000",N/A,results/raptor_lite/phase6_formal/raw/rq1.json,"condition=full_system",76e4753f367596b3bda762badf2eb9b350779e469ae8e9e7fb520ee0ac055661,verified
R1-02,RQ1,primary,"192/240 grounding-ablation correct (0.800)",240,"Wilson 95% 0.744846--0.845702; McNemar p=7.10543e-15; BH q=1.06581e-14","full minus ablation +20.0 pp",results/raptor_lite/phase6_formal/raw/rq1.json,"condition=capability_grounding_ablation",76e4753f367596b3bda762badf2eb9b350779e469ae8e9e7fb520ee0ac055661,verified
R1-03,RQ1,primary,"160/240 verifier-ablation correct (0.666667)",240,"Wilson 95% 0.604815--0.723267; McNemar p=1.65436e-24; BH q=4.96308e-24","full minus ablation +33.333 pp",results/raptor_lite/phase6_formal/raw/rq1.json,"condition=verifier_ablation",76e4753f367596b3bda762badf2eb9b350779e469ae8e9e7fb520ee0ac055661,verified
R1-04,RQ1,primary,"unsafe catch 48/48",48,"Wilson 95% approximately 0.926--1.000",N/A,results/raptor_lite/phase6_formal/raw/rq1.json,"full_system and ground_truth.issue_category=MISSING_SAFE_RETURN",76e4753f367596b3bda762badf2eb9b350779e469ae8e9e7fb520ee0ac055661,verified
R1-05,RQ1,limitation,"safe-repair success",N/A,N/A,N/A,results/raptor_lite/phase6_formal/phase7_results_freeze/claim_audit.md,"raw denominator/outcome unavailable",a2cf3e72f5472bf1666bde311efc4ea313ef31a0638f84eaa7818e9c880cd4e5,verified
R2-01,RQ2,primary,"decision 315/320 (0.984375)",320,"Wilson 95% 0.963951--0.993308; grouped bootstrap 0.968750--0.996875",N/A,results/raptor_lite/phase6_formal/raw/rq2.json,"all records",c4572ccd180ad454d15725351284497fa6f3118d817b00d283986a81ac89351a,verified
R2-02,RQ2,secondary,"intent 286/320 (0.893750)",320,"Wilson 95% 0.855193--0.922965; grouped bootstrap 0.831250--0.940625",N/A,results/raptor_lite/phase6_formal/raw/rq2.json,"all records",c4572ccd180ad454d15725351284497fa6f3118d817b00d283986a81ac89351a,verified
R2-03,RQ2,primary,"TaskSpec exact 272/320 (0.850000)",320,"Wilson 95% 0.806737--0.884959; grouped bootstrap 0.737500--0.943750",N/A,results/raptor_lite/phase6_formal/raw/rq2.json,"all records",c4572ccd180ad454d15725351284497fa6f3118d817b00d283986a81ac89351a,verified
R2-04,RQ2,primary,"end-to-end 253/320 (0.790625)",320,"Wilson 95% 0.742731--0.831624; grouped bootstrap 0.678125--0.887500",N/A,results/raptor_lite/phase6_formal/raw/rq2.json,"all records",c4572ccd180ad454d15725351284497fa6f3118d817b00d283986a81ac89351a,verified
R2-05,RQ2,secondary,"synonym end-to-end 22/40 (0.550)",40,"descriptive locked slice",N/A,results/raptor_lite/phase6_formal/raw/rq2.json,"record_id suffix synonym",c4572ccd180ad454d15725351284497fa6f3118d817b00d283986a81ac89351a,verified
R3-01,RQ3,primary,"mission completed 185/300 (0.616667)",300,"Wilson 95% 0.560503--0.669880",N/A,results/raptor_lite/phase6_formal/raw/rq3.json,"held_out full_system",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
