Metric,"Held-out result, interval/effect and claim boundary"
Mission completed,185/300; 61.7% (95% CI 56.1–67.0); task completion
Safe defer,66/300; 22.0% (17.7–27.0); not completion
Safe blocked route,49/300; 16.3%; mutually exclusive; not completion
Genuine failure,0/300 observed; no general reliability claim
Detection,P=0.486; R=0.515; primary F1=0.403 (bootstrap 0.350–0.460)
Twin correct,221/300; 73.7% (68.4–78.3); House2D state
Feedback leakage,0/300 (0.0–1.3%); observed rate
Route cost,full minus disabled=-4.737 (paired -5.186 to -4.268); completion effect 0 pp
Resource prevention,66/300; 22.0% (17.7–27.0); read-only counterfactual
Scientific replay,40/40 matched; same implementation and environment
